CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
227192	227514	-0.347	0	0.956065	0.818949	1
227446	229002	-0.106995	0	0.947922	0.770396	1
226584	228046	0.0940094	0	0.967336	0.8905	1
227071	228876	-0.00700378	0	0.950597	0.837858	1
227017	228977	-0.235001	0	0.963251	0.805106	1
228487	228699	0	0	0.940219	0.768042	1
227226	227563	0.115005	0	0.958945	0.849928	1
227283	227943	0.231003	0	0.990803	0.921415	1
226692	228487	0.243988	0	0.950013	0.776359	1
226958	229006	-0.00500488	0	0.897935	0.748948	1
226546	227084	0.0019989	0	0.952061	0.867727	1
226554	227446	0.182999	0	0.951369	0.829495	1
226761	230237	-0.447006	0	0.953337	0.833821	1
226510	226907	0.139999	0	0.960875	0.828976	1
227622	227980	-0.00100708	0	0.970184	0.874897	1
226590	227414	0.0780029	0	0.950666	0.84336	1
227092	227398	0.00300598	0	0.94974	0.833267	1
